n15_external_pusher_fraction,event,temperature_keV,completion_fraction,peak_temperature_keV,seed_energy_mev_per_initial_catalyst,seed_energy_mev_per_completion,deposited_target_nuclear_mev_per_initial_catalyst
0.0,oven-1-c12-to-n13,58.0,0.9788627830267996,348.0598963787627,1.1502453980612097,1.1750833906510039,6.867929764539071
0.0,oven-1-c12-to-n13,59.0,0.9786820920542761,348.88188582349727,1.171432802969597,1.1969492570470281,6.867578682094238
0.0,oven-1-c12-to-n13,60.0,0.9785028374256913,349.6945330470049,1.19266839693423,1.2188706576181008,6.867230390465003
0.0,oven-1-c12-to-n13,61.0,0.9783249808361761,350.4981395705794,1.2139518353742917,1.240847222705818,6.866884815224768
0.0,oven-1-c12-to-n13,62.0,0.9781484918299644,351.29299322065,1.2352827793559749,1.2628785809861567,6.866541897198009
0.0,oven-1-c12-to-n13,63.0,0.9779730168130785,352.13476767918615,1.2566608953091098,1.2849647932048185,6.866200949351796
0.0,oven-1-c12-to-n13,64.0,0.9777988769964654,352.9065464363204,1.2780858547672067,1.3071050548688927,6.86586259579893
0.0,oven-1-c12-to-n13,65.0,0.9776260843918587,353.6701986672525,1.2995573341286182,1.32929895680619,6.865526859878185
0.0,oven-1-c12-to-n13,66.0,0.9774545804274971,354.4259640314089,1.32107501443675,1.3515461903702655,6.865193627784551
0.0,oven-1-c12-to-n13,67.0,0.97728431634161,355.1740723001471,1.3426385811774533,1.373846442357245,6.864862804774203
0.0,oven-1-c12-to-n13,68.0,0.9771152574766223,355.914744410567,1.3642477240919821,1.3961993875882364,6.8645343235069065
0.0,oven-1-c12-to-n13,69.0,0.976947279811653,356.66377730859875,1.3859021370040363,1.4186048373779456,6.8642079430107765
0.0,oven-1-c12-to-n13,70.0,0.9767800921558432,357.4643452220441,1.4076015176596017,1.4410628645726147,6.86388309750193
0.05,oven-1-c12-to-n13,5.0,3.504828327784821e-10,5.002047911169092,0.11474785981567111,327399373.33306116,3.303253446676109e-05
0.05,oven-1-c12-to-n13,6.0,2.3975170668008444e-09,6.017868269201111,0.1308655525490086,54583783.5155145,0.0003034140421525647
0.05,oven-1-c12-to-n13,7.0,1.1796256117518409e-08,7.118351328524436,0.14744225806343664,12499072.298411084,0.001954358833639287
0.05,oven-1-c12-to-n13,8.0,5.669878225681707e-08,8.713759498313786,0.16436421065861423,2898901.9537337986,0.012323927445396508
0.05,oven-1-c12-to-n13,9.0,0.9801430426271955,305.02361521578104,0.18155783248570131,0.18523605697291895,6.622117308127849
0.05,oven-1-c12-to-n13,10.0,0.9886930653909426,306.51917633814185,0.19897332923254396,0.2012488366689082,6.638729996919712
0.05,oven-1-c12-to-n13,11.0,0.9898149433321883,307.3197499311983,0.2165756959728504,0.21880422944894473,6.640909805045899
0.05,oven-1-c12-to-n13,12.0,0.9899395687916476,308.0377690962231,0.23433952134999314,0.23672103705889397,6.64115195223392
0.05,oven-1-c12-to-n13,13.0,0.9897749562050533,308.73802294082975,0.2522458454694787,0.2548517154208744,6.64083211008369
0.05,oven-1-c12-to-n13,14.0,0.9895065903279574,309.43134487737115,0.27028018292665057,0.2731464202144123,6.640310675352092
0.05,oven-1-c12-to-n13,15.0,0.9891998343999804,310.11784071938797,0.2884312354675808,0.2915803515500331,6.639714648779215
0.05,oven-1-c12-to-n13,16.0,0.9888816331385354,310.82340063214673,0.30669002828294123,0.3101382592268008,6.639096383932118
0.05,oven-1-c12-to-n13,17.0,0.988561545575757,311.5282339963944,0.32504931515976987,0.32881039791048616,6.638474453999941
0.05,oven-1-c12-to-n13,18.0,0.9882448916823274,312.2324432461455,0.34350315923937647,0.3475891068403276,6.637859195686492
0.05,oven-1-c12-to-n13,19.0,0.9879339437545821,312.9552599078203,0.3620466314331131,0.3664684604895518,6.63725502406073
0.05,oven-1-c12-to-n13,20.0,0.9876292776534071,313.66649413444634,0.38067558947943053,0.38544380780601223,6.636663058020031
0.05,oven-1-c12-to-n13,21.0,0.9873313461474874,314.4024580084956,0.39938651340694103,0.4045111248268631,6.63608417729561
0.05,oven-1-c12-to-n13,22.0,0.9870398770866592,315.12701557810743,0.41817638118017725,0.42366715964350304,6.63551785309391
0.05,oven-1-c12-to-n13,23.0,0.9867547640889017,315.86809635905485,0.4370425734486838,0.44290900774339553,6.634963878720677
0.05,oven-1-c12-to-n13,24.0,0.9864756803587658,316.6114020468766,0.45598279969430033,0.46223420280210714,6.634421619210593
0.05,oven-1-c12-to-n13,25.0,0.9862022965924867,317.3463193582583,0.4749950403287365,0.48164057411946126,6.633890434726702
0.05,oven-1-c12-to-n13,26.0,0.9859344185221712,318.08768128969797,0.4940775008308566,0.5011261312607741,6.633369947807952
0.05,oven-1-c12-to-n13,27.0,0.985671619251027,318.7589711347502,0.5132285750773582,0.5206892083058456,6.632859328992454
0.05,oven-1-c12-to-n13,28.0,0.9854137206459375,319.44593049671016,0.532446815768544,0.5403281937453903,6.63235823216682
