temperature_keV,p_n15_reactivity_m3_s,p_n15_gamma_o16_reactivity_m3_s,p_n15_gamma_to_alpha_branch_ratio,dt_reactivity_m3_s,dd_total_reactivity_m3_s,dd_n_branch_reactivity_m3_s,dd_t_branch_reactivity_m3_s,p_n15_deposited_heating_coefficient_w_m3,dt_local_alpha_heating_coefficient_w_m3,dt_total_energy_coefficient_w_m3,dd_local_charged_heating_coefficient_w_m3,dd_total_energy_coefficient_w_m3
47.418043832701535,5.298437252343984e-25,4.340787614911524e-29,8.192580959586142e-05,7.948591566015424e-22,2.068815923772037e-23,1.0991313584443156e-23,9.696845653277216e-24,4.215653471178117e-37,4.482736783458342e-34,2.23996753648434e-33,7.707249595019044e-36,1.202170591649964e-35
48.84257476409844,6.180286813555287e-25,4.9880577805524695e-29,8.070916336135259e-05,7.998474253508363e-22,2.154689887938185e-23,1.1454562363953419e-23,1.0092336515428431e-23,4.91728906422637e-37,4.510868931930836e-34,2.2540248194241893e-33,8.023556850548306e-36,1.2519853732742688e-35
50.30990139541215,7.175459855839519e-25,5.711727818947598e-29,7.960086090230566e-05,8.045191615897354e-22,2.2432329075710765e-23,1.1932515605305552e-23,1.0499813470405213e-23,5.709089455610157e-37,4.5372159441112925e-34,2.267190092073111e-33,8.34953761935392e-36,1.3033447052830847e-35
51.8213093933074,8.292756344725306e-25,6.51768109849771e-29,7.859487036108747e-05,8.088935506139271e-22,2.3344944938020127e-23,1.2425454585867558e-23,1.0919490352152569e-23,6.598056257967356e-37,4.561886018577995e-34,2.2795174199081917e-33,8.685366964488793e-36,1.3562771350543552e-35
53.378123048394166,9.54086637471462e-25,7.411848279010166e-29,7.768527498355058e-05,8.129834368792894e-22,2.4285241365973484e-23,1.2933660399638188e-23,1.1351580966335298e-23,7.591103666051503e-37,4.58495159371748e-34,2.291042999485703e-33,9.031219906675436e-36,1.410811198535133e-35
54.98170643556687,1.0928297750351036e-24,8.400197275624569e-29,7.686647515945234e-05,8.16794813452351e-22,2.5253712813828976e-23,1.345741379375362e-23,1.1796299020075356e-23,8.695000837266574e-37,4.606446468397825e-34,2.301783719677538e-33,9.387271357458355e-36,1.4669754071391585e-35
56.6334646092019,1.2463325777334746e-24,9.488756360401773e-29,7.613342160771892e-05,8.203266045277478e-22,2.6250853049500795e-23,1.3996994999505496e-23,1.2253858049995301e-23,9.916331943423733e-37,4.626364575440665e-34,2.3117365487905072e-33,9.753696050541857e-36,1.5247982342475383e-35
58.33484483426175,1.4153974102863558e-24,1.0683686412602948e-28,7.548188469866905e-05,8.235707586624651e-22,2.727715490547047e-23,1.4552683557326726e-23,1.2724471348143744e-23,1.1261480926532668e-36,4.644660507430785e-34,2.3208787973068202e-33,1.0130668470967984e-35,1.584308101256648e-35
60.08733785438367,1.6008035343854316e-24,1.1991421527735787e-28,7.490876469322291e-05,8.2651265438845e-22,2.8333110020500825e-23,1.5124758135156893e-23,1.3208351885343934e-23,1.2736647911458594e-36,4.661251804234053e-34,2.3291692609282032e-33,1.0518362781760907e-35,1.6455333631128107e-35
61.89247919806421,1.8033139394225628e-24,1.3418900264139928e-28,7.441244683350465e-05,8.291318026788667e-22,2.941920857102009e-23,1.5713496339550745e-23,1.3705712231469348e-23,1.4347903553991291e-36,4.676022914669494e-34,2.3365502001739128e-33,1.0916952747633731e-35,1.7085022932683551e-35
63.75185052408408,2.0236875544003474e-24,1.4973912496713333e-28,7.399320346737199e-05,8.314028135476006e-22,3.053593899096244e-23,1.6319174518849817e-23,1.421676447211262e-23,1.610128620380219e-36,4.688830647803541e-34,2.3429500643243323e-33,1.1326611655323683e-35,1.7732430679889678e-35
65.66708100735252,2.262697174252796e-24,1.6665588859685336e-28,7.365364242870354e-05,8.332965781833745e-22,3.1683787678760213e-23,1.694206755768521e-23,1.4741720121075007e-23,1.800294453358649e-36,4.6995108397866e-34,2.3482868227558667e-33,1.1747512230089555e-35,1.8397837499369864e-35
67.63984876638452,2.521153042403679e-24,1.8505060741583277e-28,7.339919644045276e-05,8.34781604806527e-22,3.286323869009639e-23,1.7582448662031496e-23,1.5280790028064895e-23,2.0059325171546506e-36,4.70788588763342e-34,2.3524717294768246e-33,1.2179826547874016e-35,1.9081522709502816e-35
69.67188233366282,2.7999315304719426e-24,2.050631834589548e-28,7.323864216936419e-05,8.358254371193102e-22,3.407477341493259e-23,1.8240589133981456e-23,1.583418428095113e-23,2.2277400888862682e-36,4.71377274880299e-34,2.355413320417494e-33,1.2623725942599062e-35,1.9783764139309614e-35
71.76496217017225,3.100007759476768e-24,2.2687292012909626e-28,7.318462975956834e-05,8.363960797667244e-22,3.5318870237235285e-23,1.8916758135357554e-23,1.640211210187773e-23,2.466493014734847e-36,4.71699098031549e-34,2.3570214304763965e-33,1.3079380908030715e-35,2.0504837937528036e-35
73.92092222543366,3.422490343375357e-24,2.507117735392421e-28,7.3254194573412e-05,8.3646335620306085e-22,3.659600417572566e-23,1.961122243922448e-23,1.698478173650118e-23,2.7230733533252785e-36,4.717370396660286e-34,2.3572110200811862e-33,1.354696099361272e-35,2.1245018370906695e-35
